index	english	greek	isopsephy
962	joke	τζοκε	402
963	journey	τζουρνευ	1332
964	joy	τζου	777
965	judge	τζυντγκε	1085
966	juice	τζυικε	742
967	jump	τζυμπ	827
968	jungle	τζυνγκλε	815
969	junior	τζυνιορ	937
970	junk	τζυνκ	777
971	just	τζυστ	1207
972	kangaroo	κανγκαροο	335
973	keen	κεεν	80
974	keep	κεεπ	110
975	ketchup	κετκηυπ	833
976	key	κευ	425
977	kick	κικκ	70
978	kid	κιντ	380
979	kidney	κιντνευ	835
980	kind	κινντ	430
981	kingdom	κινγκντομ	563
982	kiss	κισς	430
983	kit	κιτ	330
984	kitchen	κιτκηεν	413
985	kite	κιτε	335
986	kitten	κιττεν	685
